序号,项目名称,项目URL,Star数,描述,创建时间,更新时间
63,woltapp/blurhash,https://github.com/woltapp/blurhash,16832,A very compact representation of a placeholder for an image.,2019-06-26T10:45:33Z,2025-12-05T15:08:27Z
64,espressif/esp-idf,https://github.com/espressif/esp-idf,16750,Espressif IoT Development Framework. Official development framework for Espressif SoCs.,2016-08-17T10:40:35Z,2025-12-05T15:08:41Z
65,reactos/reactos,https://github.com/reactos/reactos,16616,A free Windows-compatible Operating System,2017-10-03T08:04:52Z,2025-12-05T14:48:40Z
66,skywind3000/kcp,https://github.com/skywind3000/kcp,16476,:zap: KCP - A Fast and Reliable ARQ Protocol,2014-12-26T16:46:34Z,2025-12-05T11:35:18Z
67,sandboxie-plus/Sandboxie,https://github.com/sandboxie-plus/Sandboxie,16460,Sandboxie Plus & Classic,2020-04-09T09:26:37Z,2025-12-05T12:31:05Z
68,NVIDIA/open-gpu-kernel-modules,https://github.com/NVIDIA/open-gpu-kernel-modules,16418,NVIDIA Linux open GPU kernel module source,2022-05-02T22:00:04Z,2025-12-05T15:21:41Z
69,UberGuidoZ/Flipper,https://github.com/UberGuidoZ/Flipper,16249,Playground (and dump) of stuff I make or modify for the Flipper Zero,2022-05-09T22:41:48Z,2025-12-05T08:46:58Z
70,swaywm/sway,https://github.com/swaywm/sway,16247,i3-compatible Wayland compositor,2015-08-05T01:31:45Z,2025-12-05T03:34:01Z
71,nicbarker/clay,https://github.com/nicbarker/clay,16073,High performance UI layout library in C.,2024-07-21T01:40:27Z,2025-12-05T15:11:50Z
72,shadowsocks/shadowsocks-libev,https://github.com/shadowsocks/shadowsocks-libev,16070,Bug-fix-only libev port of shadowsocks. Future development moved to shadowsocks-rust,2012-12-15T08:11:07Z,2025-12-03T20:41:53Z
73,tursodatabase/libsql,https://github.com/tursodatabase/libsql,15879,"libSQL is a fork of SQLite that is both Open Source, and Open Contributions.",2022-09-29T18:56:16Z,2025-12-05T12:50:49Z
74,sumatrapdfreader/sumatrapdf,https://github.com/sumatrapdfreader/sumatrapdf,15775,SumatraPDF reader,2012-10-02T06:59:55Z,2025-12-05T11:44:18Z
75,brunodev85/winlator,https://github.com/brunodev85/winlator,15653,Android application for running Windows applications with Wine and Box86/Box64,2023-07-26T13:02:11Z,2025-12-05T14:35:15Z
76,davatorium/rofi,https://github.com/davatorium/rofi,15434,"Rofi: A window switcher, application launcher and dmenu replacement",2013-01-20T11:54:45Z,2025-12-05T14:46:44Z
77,flipperdevices/flipperzero-firmware,https://github.com/flipperdevices/flipperzero-firmware,15172,Flipper Zero firmware source code,2020-07-31T21:43:20Z,2025-12-05T13:49:24Z
78,ImageMagick/ImageMagick,https://github.com/ImageMagick/ImageMagick,15082,"ImageMagick is a free, open-source software suite for creating, editing, converting, and displaying images. It supports 200+ formats and offers powerful command-line tools and APIs for automation, scripting, and integration across platforms.",2015-05-17T20:07:50Z,2025-12-05T10:34:56Z
79,systemd/systemd,https://github.com/systemd/systemd,14939,The systemd System and Service Manager ,2015-03-25T15:27:27Z,2025-12-05T14:24:29Z
80,gojue/ecapture,https://github.com/gojue/ecapture,14811,Capturing SSL/TLS plaintext without a CA certificate using eBPF. Supported on Linux/Android kernels for amd64/arm64.,2022-03-13T07:40:48Z,2025-12-05T11:02:44Z
81,acidanthera/OpenCorePkg,https://github.com/acidanthera/OpenCorePkg,14508,OpenCore bootloader,2019-04-03T19:14:29Z,2025-12-05T13:11:45Z
82,SpacehuhnTech/esp8266_deauther,https://github.com/SpacehuhnTech/esp8266_deauther,14457,Affordable WiFi hacking platform for testing and learning,2017-01-07T13:39:23Z,2025-12-05T14:39:41Z
83,glfw/glfw,https://github.com/glfw/glfw,14449,"A multi-platform library for OpenGL, OpenGL ES, Vulkan, window and input",2013-04-18T15:24:53Z,2025-12-05T12:43:38Z
84,peng-zhihui/Dummy-Robot,https://github.com/peng-zhihui/Dummy-Robot,14259,我的超迷你机械臂机器人项目。,2021-10-07T11:42:58Z,2025-12-05T08:24:16Z
85,libsdl-org/SDL,https://github.com/libsdl-org/SDL,14186,Simple DirectMedia Layer,2021-01-15T19:55:54Z,2025-12-05T14:09:17Z
86,wazuh/wazuh,https://github.com/wazuh/wazuh,14144,Wazuh - The Open Source Security Platform. Unified XDR and SIEM protection for endpoints and cloud workloads.,2015-08-11T17:39:03Z,2025-12-05T14:57:40Z
87,vurtun/nuklear,https://github.com/vurtun/nuklear,14119,A single-header ANSI C gui library,2015-03-25T13:32:06Z,2025-12-04T08:22:53Z
88,memcached/memcached,https://github.com/memcached/memcached,14066,memcached development tree,2009-04-24T23:34:25Z,2025-12-05T14:48:58Z
89,haiwen/seafile,https://github.com/haiwen/seafile,14039,"Beyond file syncing and sharing, a new way to organize your files with extensible file properties and flexible views",2012-07-12T06:47:55Z,2025-12-05T12:54:34Z
90,arut/nginx-rtmp-module,https://github.com/arut/nginx-rtmp-module,13936,NGINX-based Media Streaming Server,2012-03-14T05:37:38Z,2025-12-04T14:53:56Z
91,cloudwu/skynet,https://github.com/cloudwu/skynet,13880,A lightweight online game framework,2012-08-01T03:30:42Z,2025-12-05T14:35:52Z
92,zephyrproject-rtos/zephyr,https://github.com/zephyrproject-rtos/zephyr,13853,"Primary Git Repository for the Zephyr Project. Zephyr is a new generation, scalable, optimized, secure RTOS for multiple hardware architectures.",2016-05-26T17:54:19Z,2025-12-05T11:55:55Z
93,s-matyukevich/raspberry-pi-os,https://github.com/s-matyukevich/raspberry-pi-os,13698,Learning operating system development using Linux kernel and Raspberry Pi,2017-06-22T16:09:36Z,2025-12-05T12:04:19Z
94,openresty/openresty,https://github.com/openresty/openresty,13500,High Performance Web Platform Based on Nginx and LuaJIT,2010-01-20T03:57:59Z,2025-12-05T05:41:07Z
95,bol-van/zapret,https://github.com/bol-van/zapret,13434,DPI bypass multi platform,2016-02-15T13:30:50Z,2025-12-05T14:59:06Z
96,coturn/coturn,https://github.com/coturn/coturn,13281,coturn TURN server project,2015-07-17T08:15:16Z,2025-12-05T13:54:52Z
97,jedisct1/libsodium,https://github.com/jedisct1/libsodium,13215,"A modern, portable, easy to use crypto library.",2013-01-20T00:03:40Z,2025-12-05T07:36:10Z
98,alibaba/tengine,https://github.com/alibaba/tengine,13153,A distribution of Nginx with some advanced features,2012-03-21T06:34:37Z,2025-12-05T07:59:36Z
99,winsiderss/systeminformer,https://github.com/winsiderss/systeminformer,13128,"A free, powerful, multi-purpose tool that helps you monitor system resources, debug software and detect malware. Brought to you by Winsider Seminars & Solutions, Inc. @ http://www.windows-internals.com",2016-02-01T08:10:21Z,2025-12-05T14:16:47Z
100,jonas/tig,https://github.com/jonas/tig,12985,Text-mode interface for git,2009-03-01T20:39:25Z,2025-12-04T17:50:40Z
