Commit标题,作者和时间,Commit链接
Merge branch '1.27.1.x',lijunlong committed 4 months ago,https://github.com/openresty/openresty/commit/3c327b034d247de6bccf689988b769b484baa127
feature: update luajit to v2.1-20250529.,lijunlong committed 4 months ago,https://github.com/openresty/openresty/commit/7db0222b0ce585b21db31f1c517bce9f6f8e3aa1
Merge branch '1.27.1.x',lijunlong committed 4 months ago,https://github.com/openresty/openresty/commit/e23b18b1a69b29ad0bd7f2fea9254e1ac497e90c
feature: update lua-resty-mysql to v0.28.,lijunlong committed 4 months ago,https://github.com/openresty/openresty/commit/f7ad0aa79d2182584d26c1a182e67f376d68b5d4
Merge branch '1.27.1.x',lijunlong committed 4 months ago,https://github.com/openresty/openresty/commit/c40929d64c56f053436e49ed6add2d26f0aba671
feature: update lua-resty-redis to v0.33.,lijunlong committed 4 months ago,https://github.com/openresty/openresty/commit/3a9d571b44f610131a833b9086cdd60414a3ff49
"Revert ""change: don't apply quic yield patch for minor release.""",lijunlong committed 4 months ago,https://github.com/openresty/openresty/commit/ecf6e323700d11f12e1145b12db31ec39d8baabf
feature: update lua-resty-redis to v0.33.,lijunlong committed 4 months ago,https://github.com/openresty/openresty/commit/b3d20e09fc99f5194a6239b8605755096a9ac75a
change: don't apply quic yield patch for minor release.,lijunlong committed 4 months ago,https://github.com/openresty/openresty/commit/0044a7a7649a3a9046b78d589a05c19ee970466b
feature: update headers-more-nginx-module to v0.39.,lijunlong committed 4 months ago,https://github.com/openresty/openresty/commit/f65d4fa6c4605460f9b40416588dd8c36083d776
bumped version to 1.21.4.2. (#863),lijunlong committed 3 years ago,https://github.com/openresty/openresty/commit/21c58ae1f5df58e91da81065f0d152388149922e
upgrade nginx core to 1.23.0. (#839),lijunlong committed 3 years ago,https://github.com/openresty/openresty/commit/ae42a6bd86f128d6d3c0b0c96ba60bf74386de49
tests: 002-reuseport-close-unused-fds.t: the order of the logs generated by multiple processes is uncertain. (#827),lijunlong committed 3 years ago,https://github.com/openresty/openresty/commit/74d747d9b47b9cd27ea8e820d5aa4d6f8f874006
travis: added spelling check workflow. (#811),lijunlong committed 3 years ago,https://github.com/openresty/openresty/commit/fa95e176fb24802b0c7389b1c61d473de7acf515
feature: add patch for nginx-1.25.3.,lijunlong committed 2 years ago,https://github.com/openresty/openresty/commit/aecf396061144217a5e5de57ca6c7dffb12b27fc
tests: update test expectation.,lijunlong committed 2 years ago,https://github.com/openresty/openresty/commit/348fcffc2b8d05754242382bfd1a8da645cf5463
bumped headers-more-nginx-module to v0.35.,lijunlong committed 2 years ago,https://github.com/openresty/openresty/commit/5196b0d9ac7df02ea4716aad992fb5bf7df101d5
"bumped ngx_lua to 0.10.25, lua-resty-core to 0.1.27.",lijunlong committed 2 years ago,https://github.com/openresty/openresty/commit/cd976f928645d94c3ea8f0e6db43c2cd1463f47f
feature: update resty-cli.,lijunlong committed 2 months ago,https://github.com/openresty/openresty/commit/7c7c28567126fcbb64130f8665c19111efb91f96
tests: update tests.,lijunlong committed 11 months ago,https://github.com/openresty/openresty/commit/83c39d2cc8debbc98eb683bdd42e7518659d6147
bugfix: apply patch CVE-2025-23419.patch,lijunlong committed 10 months ago,https://github.com/openresty/openresty/commit/4ad3978ec863590fab8bb488f39d73fa5908497c
bumped openresty to 1.27.1.2.,lijunlong committed 10 months ago,https://github.com/openresty/openresty/commit/47dafb930e70f0103b14701395ad0d1a8a1dc4de
bumped openresty to 1.27.1.2.,lijunlong committed 10 months ago,https://github.com/openresty/openresty/commit/a880b46b071362771de067953efe5b284c5b3fb9
bugfix: fixed nginx-1.27.1-stream_ssl_preread_no_skip.patch.,lijunlong committed 10 months ago,https://github.com/openresty/openresty/commit/279c5cf91a6962ea7088547bd82c2829fb7f8748
feature: check in patch LuaJIT2-20241104.patch for apple.,lijunlong committed 1 year ago,https://github.com/openresty/openresty/commit/67aff27ddca1a5d9e31614025d2934b569b9ab3e
bugfix: bumped luajit to v2.1-20241104.,lijunlong committed 1 year ago,https://github.com/openresty/openresty/commit/89163714149ef666c1e85d43a02b35059ab59c59
disable win32 in nginx-1.27.1-proc_exit_handler.patch.,lijunlong committed 1 year ago,https://github.com/openresty/openresty/commit/8c37412c31621225e7aa7e825b5b50106c9c71c4
update lua-resty-core to v0.1.30.,lijunlong committed 1 year ago,https://github.com/openresty/openresty/commit/c41a1ae6b9da795e3af4f5d036100dc84ce9cc35
feature: update lua-resty-lurcache to 0.15.,lijunlong committed 1 year ago,https://github.com/openresty/openresty/commit/120ad62721cf6c1548f71f09e7f894fb18c99a58
feature: add openssl-3.0.15-sess_set_get_cb_yield.patch.,lijunlong committed 1 year ago,https://github.com/openresty/openresty/commit/5ef14281cd2c7e9543c3d5d3f6354acfc8dec092
patch: add NGX_HAVE_PROC_EXIT for proc_exit_handler.,lijunlong committed 1 year ago,https://github.com/openresty/openresty/commit/c58d90ce11d9a832ae2c9552ade869ada46449ec
feature: add proc_exit_handler.,lijunlong committed 1 year ago,https://github.com/openresty/openresty/commit/27303d2fd09206a03bc84f90df89cf0d194ce843
win32: update pcre to pcre2-10.44.,lijunlong committed 1 year ago,https://github.com/openresty/openresty/commit/347c47c784cbc63f4840c2e5da0adf855aa12e7d
test: fixed travis.yml.,lijunlong committed 1 year ago,https://github.com/openresty/openresty/commit/476b640fbbece20051fd35458bd9e717c0c45a24
bumped openresty to v1.27.1.1.,lijunlong committed 1 year ago,https://github.com/openresty/openresty/commit/0b57c3b04a1c5d49457a216cbd61b4910fa29ba4
feature: add patches for nginx-1.27.1. (#999),lijunlong committed 1 year ago,https://github.com/openresty/openresty/commit/9fb4098d729cd84c4f5d7fe112910f1ebe6e86d8
feature: update luajit to v20240815.,lijunlong committed 1 year ago,https://github.com/openresty/openresty/commit/2d1e490fa08e21907b19b3e7e6144868499783de
feature: bumped lua-resty-redis to 0.31.,lijunlong committed 1 year ago,https://github.com/openresty/openresty/commit/d3a190467e673444b8c92c6c4efb283141f3706e
feature: more patch for balancer_pool_max_retry.,lijunlong committed 1 year ago,https://github.com/openresty/openresty/commit/cc86d58043440c3f497b06b82e20f50909da52c9
tests: update tests.,lijunlong committed 1 year ago,https://github.com/openresty/openresty/commit/09efae3e6a51aa90228c58a179e7bbbdaf76ddf2
feature: update luajit to v2.1-20240626.,lijunlong committed 1 year ago,https://github.com/openresty/openresty/commit/00d11dd647d315eb629059030228aca8d63431e4
bugfix: backport fixes for CVE-2024-24989 and CVE-2024-24990.,lijunlong committed 1 year ago,https://github.com/openresty/openresty/commit/9c9495b6f9277018e683bbee42ce2f6a0edf248d
tests: fixed failed test introduced by commit ad33f56e911d.,lijunlong committed 1 year ago,https://github.com/openresty/openresty/commit/7b7fcbe0784f8551217d44ce7c7b06c5dd28b0ac
feature: release openresty-1.25.3rc1.,lijunlong committed 1 year ago,https://github.com/openresty/openresty/commit/6fe9e3f7e60eef00eb90611c21b0ac50acae2665
bugfix: update stream-lua-nginx-module to R2.,lijunlong committed 1 month ago,https://github.com/openresty/openresty/commit/d52d5b4b9923ffea986b7095b6ae7b770d98e04a
tests: update tests to match the latest change in util/mirror-tarballs.,lijunlong committed 1 month ago,https://github.com/openresty/openresty/commit/924ee9ae4d9dd561d12665acc0bb0161a083a36f
feature: update luajit.,lijunlong committed 1 month ago,https://github.com/openresty/openresty/commit/2200cb932d156f46849ff60871345ba8e2ee62b5
feature: update rds-csv-nginx-module and stream-lua-nginx-module.,lijunlong committed 1 month ago,https://github.com/openresty/openresty/commit/dbb471fbe131e663aadd46158a46773e89ed1d18
bugfix: update lua-nginx-module and stream-lua-nginx-module.,lijunlong committed 1 month ago,https://github.com/openresty/openresty/commit/6e839f20ee562eee9044bc0bc4d6a48c44778105
bugfix: update nginx-1.29.2-stream_proxy_protocol_v2.patch to build with openssl 1.x.x.,lijunlong committed 1 month ago,https://github.com/openresty/openresty/commit/95eca0b3b80eb8faf3a45a8cf052ea0b90d5158c
feature: update lua-resty-core to 0.1.32rc2.,lijunlong committed 1 month ago,https://github.com/openresty/openresty/commit/5b1f3746d22f748eae95f1b7abcf9a52aebf7c98
"feature: update lua-nginx-module, stream-lua-nginx-module, lua-resty-core.",lijunlong committed 1 month ago,https://github.com/openresty/openresty/commit/aa43b63ad3578baf37ad9c2741e3dd40d9562f48
bugfix: fixed issue introduce by commit 305ebd07e..,lijunlong committed 1 month ago,https://github.com/openresty/openresty/commit/6623d561be9208fb7aa4b9b3eaf3c4502a6796ea
feature: update openresty components.,lijunlong committed 1 month ago,https://github.com/openresty/openresty/commit/b1e411818513c676e2eb56ca7ce9f0b894be03b0
Fixes an issue where EXEC checks ACL during AOF loading (#14545),lihp committed 13 days ago,https://github.com/redis/redis/commit/0288d70820095491c0cf7d9d89a7e6062a6418f2
"ios-sdlview: whenever the IJKSDLGLView move to a new screen, update the view's scale factor.",lichaoran committed 7 years ago,https://github.com/bilibili/ijkplayer/commit/f721a60eea3f6c9efbabc802599b9740c81627fe
"base64:To improve compatibility, there may not be enough equal signs (#1561)",liaodaiguo123 committed 3 years ago,https://github.com/cloudwu/skynet/commit/f72573a2aaac0c642d2f47a40ee32b6fdb76ef26
CI: checkout lua-resty-core v0.1.27 for tengine 3.x with ngx_http_lua_module v0.10.25,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/a790ce0bb0b098a2b5cbc98adfd5f04f6ae32ffa
"Readme: dynamically configure HTTP routing based on modulo operation for a specific header, cookie or query parameter with tengine-ingress",lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/798d746d6b796e0679e9ab29e12265ebe347b01c
Readme: release 3.1.0,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/8f6151f059a587e70930cf9fd857d94459cfb555
HTTP/2: per-iteration stream handling limit.,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/9330174ba9ba2c1e186a9ffa10ae962ccb9280f1
HTTP Route: crash with logs,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/8ddc2cae8370d0efbbdcc802326b39724d95272d
"HTTP Route: supports routing based on multiple values, nginx var, or mod of header, cookie, query parameter while also being able to add HTTP headers and query parameter",lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/a4e2c31b86d978632ae87946ff0fc4ed7f555f91
TLS: allow support for different protocols on different hosts (same machine) based on ingress,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/a92db83f7b2b6db3bfa6291602ddbc56921e408e
Readme: add tengine logo,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/12ec913fa1f812e39470fda055041c758eb004e6
Merge pull request #1815 from drawing/master,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/d6d7ceb3db089fa470f9b02d980096f6f2051523
Merge pull request #1810 from lianglli/tengine-3.0.0-readme,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/c02538c0195b8170a31df132ad448a8c5b9bacf9
Readme: update features of tengine 3.0.0,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/642902ba4caa8e4fa45f2c25ec6cd8f7aa435af5
Merge pull request #1809 from lianglli/tengine-3.0.0-readme,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/70b00ca0584be0a1139d8bd1113fd2c81ff0dfc6
Readme: tengine 3.0.0 features,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/b6ffb7cba378b2d65edc2bf23c0f6a23a2da1df8
Merge pull request #1807 from alibaba/tengine-3.0.0-ut,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/eef5b32d3f1539b6810e4204e97ec7b3d0d867ea
Merge pull request #1808 from lianglli/tengine-core-1.24.0,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/14b81245b41c85e002a6eb830381e6d1bb6aaff3
Test: add lua_package_path for resty.core with nginx-core 1.24.0,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/3f195264df731d595231888d4a98265cdbc4c24f
Merge pull request #1806 from lianglli/tengine-core-1.24.0,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/1143825909a8c37bc447af3547d043b2d7bbca61
Test: add lua_package_path for resty.core of lua-nginx-module-0.10.25,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/cb7240ec74aab559b447906441ed3062aa0993f6
Merge pull request #1802 from drawing/tengine-3.0.0-ut,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/61f52a06792a3bdff379e97f29be509b6ce45d05
Merge pull request #1803 from lianglli/tengine-core-1.24.0,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/627584c42df14e307c00e7c13f63418a5b89a423
lua-nginx-module: update to 0.10.25 with xquic and tengine var,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/aa056d5dbf6c7c60502a4722d14bf7df6e34b567
Merge pull request #1801 from lianglli/tengine-core-1.24.0,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/6327827ad78ab9ccdd589d2cb861f3a344f6ab4a
Test: add LuaJIT for NTLS with nginx-core 1.24.0,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/f975426cb86ac493cb6b783a192103dd140b2c37
Test: add LuaJIT for NTLS with nginx-core 1.24.0,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/1a7d4389c09b7fef3cab192d5856f296f93b3308
Test: add LuaJIT for NTLS with nginx-core 1.24.0,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/c7b43719aaa6eb4b6f0d5da8d85f1d358dd24344
Test: update test case for nginx-core 1.24.0 and ntls,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/fe8941274f0496b737b8ea16c462f703b4c5578d
Test: add lua_package_path of resty lua lib for tengine test,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/61d0147bd5b18bea62d769c431457d10a2671d22
Test: use ubuntu-latest,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/36bee3cc6217a37cdb1d65a9b8fd18c5504f7f4e
Test: update test cases for nginx-core 1.24.0,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/f28f2e1309142da888a34db04a43f7c89c384d91
Test: add lua_package_path for resty lua lib,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/a16ee6fe14155551146d1d66058fd930719dbdfe
Test: add resty.lrucache which is requied by resty.core,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/c588df57729ff178eaa4767ee565e7134f99f547
Test: add lua-resty-core which is required by lua-nginx-module v0.0.10.25 for nginx core 1.24.0,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/51d1936b3253b3c167fc36dca532009858caf8e3
Test: add lua-resty-core which is required by lua-nginx-module v0.0.10.25 for nginx core 1.24.0,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/2612ed435002aa9a980f5e37d889060d453078eb
Test: add lua-resty-core which is required by lua-nginx-module v0.0.10.25 for nginx core 1.24.0,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/eee544ae875469379e1d12c7343c88bf769a322d
Test: lua module for nginx 1.24.0,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/1e76f114de0315bc94db176013ca7fa03da0ae40
Test: ngx_tongsuo_ntls now TLSv1.3 protocol is enabled by default.,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/ab1045a6754c63febbbd7fe42fa9a1009d8d1ecf
Test: ngx_tongsuo_ntls now TLSv1.3 protocol is enabled by default.,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/860295ceff0decd2b6f6cc5b2332f485bb6c11f8
Build: workaround for lua-nginx-module v0.10.25 for nginx 1.23.0 changes with nginx 1.21.5 which is built with the PCRE2 library by default,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/2fc91fb7729ab5e1e93c0b7aa5ea8942db23f3e0
Build: workaround for lua-nginx-module v0.10.25 for nginx 1.23.0 changes with nginx 1.21.5 which is built with the PCRE2 library by default,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/b7925fc372d03f7dd952e4fccb72cafd4cd94bb3
Build: workaround for lua-nginx-module v0.10.25 for nginx 1.23.0 changes with nginx 1.21.5 which is built with the PCRE2 library by default,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/3490057fd168d17c9adb4378ec53b833351aae44
ngx_http_upstream_session_sticky_module: uninitialized variable cookie for nginx 1.23.0 changes,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/f9d2fd10ddfae4d9cf60e7e75a359369d360fe8c
lua-nginx-module: update to v0.10.25 for nginx 1.23.0 changes,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/1edea630d453d0cc933b732586b6de784181ad09
Change: update core to stable version Nginx-1.24.0,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/d6c1394399ec2d4aa3abef0722867d30ddf347de
Change: update core to stable version Nginx-1.24.0,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/fc391c78e34df737fc12337f8f7f55d038638318
Change: update core to Nginx-1.25.1,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/204ad0dff760651154aeffa5e25bc19b62537008
Change: update core to Nginx-1.25.1,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/5ecdfee19db7b893574d9b0ad003bdea8341891d
Merge branch 'alibaba:master' into tengine-core-1.24.0,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/a20e45691653282e79f93d439ef2daf0906e86c8
Change: update core to Nginx-1.25.1,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/6f4a65af794ddf48c845e332b544bb6cc98da4b8
Change: update core to Nginx-1.25.1,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/4cb5f83081899fab25733b93316fd292aa682d07
Change: update core to Nginx-1.25.1,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/5699c0278f94a4936507120994692d238ae2bbd1
Merge pull request #1796 from lianglli/tengine-3.0.0,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/11f60710b82dbef3839c8a19bb65e7bb1d547342
HTTP/3: only generate random cid without qch currently,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/acabd8b1ae0f23aec718181582cf86f2964635d9
HTTP/3: get ssl handler in callback of connection establishment,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/ce20b0c5145280818ecd187863051a4bddbd3e9b
Merge pull request #1792 from alibaba/tengine-3.0.0,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/283223ad487f81c20f48dc4135f421458eea36c0
Merge pull request #1791 from lianglli/tengine-3.0.0,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/7419bb889774f642c5e31e8e54b94ca4f76794aa
"HTTP/3: the $xquic_ssl_protocol, $xquic_ssl_cipher and $xquic_ssl_session_reused variables.",lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/05f4d21865c5a7e3a40ca9224929aa139c24e5e1
Merge pull request #1781 from lianglli/tengine-3.0.0,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/fe04d9f9bc065449e73aa54ffd78a64c89aadc32
HTTP/3: long connection for QUIC request.,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/fa7c8554e5f9a830e8da28b4fb08f8494334262d
Merge pull request #1763 from lianglli/tengine-3.0.0,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/a83ca03d9d57345c58e3590acffc11d190d24bcc
add ngx_http_find_virtual_server_inner with alibaba comments,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/f16fd4ed596a56e0f7cb61d67cc688aeeec37542
Merge pull request #1762 from lianglli/tengine-3.0.0,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/5c8623d504720d66a80f19cbe8aa9a303e9239db
check ret code for geting chain certificate failed,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/6c0854e9677e687dbae705c033ee388d30ad4b9a
Merge pull request #1761 from lianglli/tengine-3.0.0,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/834ca0012de7457df3543822db1193d8da63bf1d
uninitialized warn about xquic filter,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/52df7dfecc7d4bafdaeadcc995549ca365e2b0ff
Merge pull request #1760 from lianglli/tengine-3.0.0,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/8b9c65eb605c092df028972a9accb3d746719721
uninitialized warn about xquic filter,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/b6ad26ab536e065e7554eead0b1094d92c1e1a5f
Merge pull request #1759 from lianglli/tengine-3.0.0,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/9ecc072a0c8e6bfbe19755de2c7048e8722eaa25
convert ngx_sockaddr_t to sockaddr for debug mode of xquic-recv,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/fabafb36f57b52185a9d8807ade619a39a76ebd7
Merge pull request #1758 from lianglli/tengine-3.0.0,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/d4f19cb92025e2402275e938af746a6a23de5dde
http xquic NGX_QUIC_CID_ROUTE_FIRST_OCTER,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/9100c2b19895c72b94433267147b4925b2e7b88a
Merge pull request #1757 from lianglli/tengine-3.0.0,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/f8ccf4574ee8a4c44ab84898a52a655c1a70c447
xquich and xudp macro,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/4ce5b9b9a58ccee04a5ab0bf2ad56241e4d4cf16
Merge pull request #1756 from lianglli/tengine-3.0.0,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/e7781fda86591930508cb1b7dbad3d6316ed439a
modify makefile for the xquic-xdp module,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/4c15e77252f8157882e49f4db4b05d5a968af87f
Merge pull request #1755 from lianglli/tengine-3.0.0,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/e54c1049b83417a1c74433f3757a3d1cd12ae828
Create Makefile,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/244239ace93384161d9d0f29c95480e208482e77
Merge pull request #1754 from lianglli/tengine-3.0.0,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/dd0d5192cef2a2e5ab169f30e5374f63f2aaad59
tengine:ingress+xquic+xdup,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/131c70c6641241a2eb22cd622a3cfab11911fae3
Merge pull request #1750 from drawing/add_ingress_module,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/45984d6e972a77d5c0d1d7b1a41a24a9b4686b15
Merge pull request #1743 from drawing/add_ingress_module,lianglli committed 2 years ago,https://github.com/alibaba/tengine/commit/d289d100d9ecdb547eff03a0d3b555b7cd290b0d
feat(dave2d): always invalidate cache when using Renesas RZA,liamHowatt committed 1 month ago,https://github.com/lvgl/lvgl/commit/9d14a04e8a112a859b7acdc416dd90db717cb3c3
fix(dave2d): fix leftover typo from #8725,liamHowatt committed 1 month ago,https://github.com/lvgl/lvgl/commit/abec5b7c6ed6e1c24ffda6a0f297a874aea89dcf
Fix NULL pointer dereference in ws_start(),lhywk committed 5 months ago,https://github.com/allinurl/goaccess/commit/a6d032af3975ec4749927f254c3fad39b711d363
Fix memory and resource leaks in udp_create_server_socket( ) (#1714),lhywk committed 5 months ago,https://github.com/coturn/coturn/commit/5ab95e1a5aa9b79f8034df67a4e6aafd54cf9daa
open ngx_http_upstream_rbtree_lookup as api (#1868),lhanjian committed 2 years ago,https://github.com/alibaba/tengine/commit/2d609f5067c7f9ff06c79c3dac124269db88f075
[Keyboard] Add Rubrehaku (#24907),leyew committed 26 days ago,https://github.com/qmk/qmk_firmware/commit/024c4ef85395f3230ab1599a4f1c87ffeab7e553
Fix some capitalizations,lexi committed 3 years ago,https://github.com/NVIDIA/open-gpu-kernel-modules/commit/f9be5ff55e5ca23c64a1cd089c5e6028a5560363
Fix alpine missing __STRING #define (#14133),lerman25 committed 5 months ago,https://github.com/redis/redis/commit/a8cde7d19c51fd150fcfd40156e6d644c47058cb
Add config base to vector-sets and hnsw thread config (#14082),lerman25 committed 5 months ago,https://github.com/redis/redis/commit/94aebb7324c77e4acecaf6d9f08c23a658dc865f
Docs: Fix alphabetical order on some entries in the Configuration file.,leon9078 committed 1 year ago,https://github.com/acidanthera/OpenCorePkg/commit/b4d9dd0f197406888a96b9c6d2d071b7285ab5d5
Generate provenance attestations for release artifacts and docker image (#3225),lectrical committed 11 months ago,https://github.com/jqlang/jq/commit/bcbf2b4616893cf2e6a4f8a92dc3db3b1eeb1195
bugfix: mongo getMore command field batchSize cannot replace with limit (#1666),learno committed 3 years ago,https://github.com/cloudwu/skynet/commit/ae35b3c4e894d67e896e76643334d5663120dd84
loongarch64: switch to kernel 6.12,lean committed 2 months ago,https://github.com/coolsnowwolf/lede/commit/dc8d5cc352805268efeefd5fd8fe835cd2db93ba
yt6801: add Motorcomm YT6801 PCI Gigabit Ethernet kernel module,lean committed 2 months ago,https://github.com/coolsnowwolf/lede/commit/5a435375863195e30aae2bde35122a09eb3f2a9a
fix: 调整一个错误描述 (#1991),lcw4u committed 1 year ago,https://github.com/cloudwu/skynet/commit/270ed6e1981693bfbd58fe114f3cdea72c3d5f12
Wayland: remove some dead code,lbonn committed 9 months ago,https://github.com/davatorium/rofi/commit/3bec3fac59394a475d162e72d5be2fb042115274
Wayland: fix key repeat rate,lbonn committed 9 months ago,https://github.com/davatorium/rofi/commit/183b0b5d7590c85c0d539ef9cdd3177516086917
Merge remote-tracking branch 'upstream/next' into wayland,lbonn committed 9 months ago,https://github.com/davatorium/rofi/commit/cebb0fd1a7b440fa7d6b0b98fee37244cc0f9249
[Wayland] HiDPI: Try the first transparent frame trick,lbonn committed 6 months ago,https://github.com/davatorium/rofi/commit/146c7b16a09162fde688ee04a0b908f5fe139ce6
Check all dependencies for xcb/wayland (#2142),lbonn committed 6 months ago,https://github.com/davatorium/rofi/commit/fd6af1f0a0d17908ccbc804db0c23220d730612a
Fix github actions (hopefully),lbonn committed 6 months ago,https://github.com/davatorium/rofi/commit/88dc74c028d4e340d599232b4c563cf514acbb92
Restore doxygen check on CI,lbonn committed 6 months ago,https://github.com/davatorium/rofi/commit/a1c49b9ca5be9769f9eb46c1ef35d943c8b0686f
Add xcb compile status in info,lbonn committed 6 months ago,https://github.com/davatorium/rofi/commit/8203ee02e6dd1e62ddf4cff084c71a578d6df76a
Clean up gitignore,lbonn committed 6 months ago,https://github.com/davatorium/rofi/commit/f4e87c110d0872a71da3ea2709b623bf07a24bef
Remove dead screenshot code,lbonn committed 6 months ago,https://github.com/davatorium/rofi/commit/3c60cd444f244e4a6c4ebf8568b34d2e67d8be78
Merge remote-tracking branch 'upstream/next' into wayland-next,lbonn committed 6 months ago,https://github.com/davatorium/rofi/commit/7b69fb4f5d8bb862855d9a92b8140a681e781721
Restore issue threads CI workflows,lbonn committed 6 months ago,https://github.com/davatorium/rofi/commit/5d9b9716ca03573f2698d19833a58619993f5696
Remove travis configuration,lbonn committed 6 months ago,https://github.com/davatorium/rofi/commit/99736c7143b4a3353b80c53958170100cc70c461
Remove autotools CI steps,lbonn committed 6 months ago,https://github.com/davatorium/rofi/commit/c38f8efaa65ee78d740a5ea501a59efb0cc382ad
Remove libgwater autotools directives,lbonn committed 6 months ago,https://github.com/davatorium/rofi/commit/040c76eb389f14458cbe4043bc4c5df7dbe1060b
Remove some remaining m4 utils,lbonn committed 6 months ago,https://github.com/davatorium/rofi/commit/dda295952403367d3c6556a42cb201a755036903
Fix one outdated copyright notice,lbonn committed 6 months ago,https://github.com/davatorium/rofi/commit/f17a25a123c08e67d8cfeb40844f65bb60ca50b3
Sync back a lot of the docs with main rofi,lbonn committed 6 months ago,https://github.com/davatorium/rofi/commit/76501c6f3d57cf15802ec45360548008781e49cf
