项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
UberGuidoZ/Flipper,https://github.com/UberGuidoZ/Flipper,0fe7da1,RogueMaster,2025-08-20T06:04:32Z,Merge branch 'main' into mainRM,https://github.com/UberGuidoZ/Flipper/commit/0fe7da13e6362006dfc704e00c1d7e2d55fb01cf
UberGuidoZ/Flipper,https://github.com/UberGuidoZ/Flipper,55f6323,UberGuidoZ,2025-08-19T13:00:43Z,Updated submodule,https://github.com/UberGuidoZ/Flipper/commit/55f63234766a7f6d34cebe9ad5efe77a8fd89609
UberGuidoZ/Flipper,https://github.com/UberGuidoZ/Flipper,ea692d1,RogueMaster,2025-08-18T05:56:10Z,RM FAP UPDATES,https://github.com/UberGuidoZ/Flipper/commit/ea692d1c56871c2a3b6637a603dc35abdae1df3c
UberGuidoZ/Flipper,https://github.com/UberGuidoZ/Flipper,a4e4458,UberGuidoZ,2025-08-05T04:00:41Z,Updated submodule,https://github.com/UberGuidoZ/Flipper/commit/a4e44584e9d6398eefe269d0c508bb5120c0700b
UberGuidoZ/Flipper,https://github.com/UberGuidoZ/Flipper,7929306,UberGuidoZ,2025-06-29T23:24:24Z,Merge pull request #664 from RogueMaster/main,https://github.com/UberGuidoZ/Flipper/commit/7929306d773694c140354c681ec2599c6d4e9c08
UberGuidoZ/Flipper,https://github.com/UberGuidoZ/Flipper,1f91348,RogueMaster,2025-06-29T06:57:16Z,Merge branch 'main' into mainRM,https://github.com/UberGuidoZ/Flipper/commit/1f91348a93b191b592857de1953734a3df0fb760
UberGuidoZ/Flipper,https://github.com/UberGuidoZ/Flipper,1bb7482,RogueMaster,2025-06-29T06:56:58Z,RM FAP UPDATES,https://github.com/UberGuidoZ/Flipper/commit/1bb7482393d1feda2d7498a9c64306876ae5d79f
UberGuidoZ/Flipper,https://github.com/UberGuidoZ/Flipper,afcde1d,UberGuidoZ,2025-06-24T09:30:44Z,Updated submodule,https://github.com/UberGuidoZ/Flipper/commit/afcde1d3688e3505398cc77894a0989b0c0be2dc
UberGuidoZ/Flipper,https://github.com/UberGuidoZ/Flipper,a74e5bf,UberGuidoZ,2025-06-17T13:00:39Z,Updated submodule,https://github.com/UberGuidoZ/Flipper/commit/a74e5bfe0122394cf064eb8ed6bbc3770b7d8ad3
UberGuidoZ/Flipper,https://github.com/UberGuidoZ/Flipper,b89f306,UberGuidoZ,2025-06-17T09:00:42Z,Updated submodule,https://github.com/UberGuidoZ/Flipper/commit/b89f3060b717e3d681f2047d22aba4778a4158fe
UberGuidoZ/Flipper,https://github.com/UberGuidoZ/Flipper,575b71d,UberGuidoZ,2025-06-10T03:00:42Z,Updated submodule,https://github.com/UberGuidoZ/Flipper/commit/575b71d75b01d71ae7953eb9e1bc12c84281894d
UberGuidoZ/Flipper,https://github.com/UberGuidoZ/Flipper,b881bf1,UberGuidoZ,2025-06-10T02:30:41Z,Updated submodule,https://github.com/UberGuidoZ/Flipper/commit/b881bf1a78623585a67086db1e3a88f510723f0d
UberGuidoZ/Flipper,https://github.com/UberGuidoZ/Flipper,2d0a2cc,UberGuidoZ,2025-06-10T02:00:42Z,Updated submodule,https://github.com/UberGuidoZ/Flipper/commit/2d0a2ccd610cd1030f8dcaff69b513ce44110638
UberGuidoZ/Flipper,https://github.com/UberGuidoZ/Flipper,ea6c943,UberGuidoZ,2025-06-06T21:00:39Z,Updated submodule,https://github.com/UberGuidoZ/Flipper/commit/ea6c943663f2a846887525b734705c5f7942058d
UberGuidoZ/Flipper,https://github.com/UberGuidoZ/Flipper,37e6dc6,UberGuidoZ,2025-05-16T12:00:45Z,Updated submodule,https://github.com/UberGuidoZ/Flipper/commit/37e6dc6c3eb581d046f201b6e4ef02f0e7030836
UberGuidoZ/Flipper,https://github.com/UberGuidoZ/Flipper,3732ed9,UberGuidoZ,2025-05-16T10:00:42Z,Updated submodule,https://github.com/UberGuidoZ/Flipper/commit/3732ed9009d3e300be7db0a46d1fd6708525c83b
UberGuidoZ/Flipper,https://github.com/UberGuidoZ/Flipper,3beee85,UberGuidoZ,2025-05-15T23:30:38Z,Updated submodule,https://github.com/UberGuidoZ/Flipper/commit/3beee856169bc4ec502068f4da300e9ee559fad1
UberGuidoZ/Flipper,https://github.com/UberGuidoZ/Flipper,5913696,UberGuidoZ,2025-05-15T07:00:39Z,Updated submodule,https://github.com/UberGuidoZ/Flipper/commit/5913696671ef882b60d13a5c7e8a416afd99a1df
UberGuidoZ/Flipper,https://github.com/UberGuidoZ/Flipper,0bbe1c6,UberGuidoZ,2025-05-11T02:30:38Z,Updated submodule,https://github.com/UberGuidoZ/Flipper/commit/0bbe1c6650582091c5deac07505ed8c50955871e
UberGuidoZ/Flipper,https://github.com/UberGuidoZ/Flipper,02f1226,UberGuidoZ,2025-05-11T02:13:35Z,Updated submodule,https://github.com/UberGuidoZ/Flipper/commit/02f12266829f7d96939471aa2216611589338487
UberGuidoZ/Flipper,https://github.com/UberGuidoZ/Flipper,98b9f1e,UberGuidoZ,2025-05-10T13:00:38Z,Updated submodule,https://github.com/UberGuidoZ/Flipper/commit/98b9f1e1642c87d1b9dcd46df187d3cb27f739ac
UberGuidoZ/Flipper,https://github.com/UberGuidoZ/Flipper,fc96bcf,UberGuidoZ,2025-05-10T12:13:34Z,Updated submodule,https://github.com/UberGuidoZ/Flipper/commit/fc96bcf3b11a2f15e4a145581070609807c1ba0e
