项目名称,提交ID,提交时间,总变化行数
openwrt/openwrt,9c6dbb0,2025-12-01T16:06:45Z,70
openwrt/openwrt,a703b91,2025-12-01T14:57:00Z,4
openwrt/openwrt,5bdf1b8,2025-12-01T14:02:04Z,18
openwrt/openwrt,141ac0b,2025-12-01T12:58:40Z,8
openwrt/openwrt,d0fcbdd,2025-12-01T11:30:51Z,14
openwrt/openwrt,316a85e,2025-12-01T10:33:11Z,6
openwrt/openwrt,bda163e,2025-12-01T10:28:04Z,2
openwrt/openwrt,d7f777b,2025-11-30T16:09:46Z,59
openwrt/openwrt,1346dc1,2025-11-30T12:11:56Z,408
openwrt/openwrt,8d2d491,2025-11-29T18:05:42Z,6
openwrt/openwrt,1aee2f5,2025-11-29T17:02:12Z,228
openwrt/openwrt,9323ed5,2025-11-29T17:01:48Z,3
openwrt/openwrt,39f2019,2025-11-29T16:56:11Z,186
openwrt/openwrt,48c9e55,2025-11-29T16:55:41Z,1046
openwrt/openwrt,3bbb4f6,2025-11-29T16:35:55Z,12
openwrt/openwrt,24b8db1,2025-11-29T16:18:26Z,11
openwrt/openwrt,211b11a,2025-11-29T10:37:22Z,16
openwrt/openwrt,60521b6,2025-11-29T09:06:28Z,2
openwrt/openwrt,1ead4e6,2025-11-29T00:04:09Z,6
openwrt/openwrt,616b0ce,2025-11-28T23:31:24Z,3
openwrt/openwrt,f891609,2025-11-28T20:20:45Z,2
openwrt/openwrt,d4dcb94,2025-11-28T17:56:04Z,23
openwrt/openwrt,86bd55c,2025-11-28T16:21:04Z,22
openwrt/openwrt,2b3efc3,2025-11-28T11:00:30Z,6
openwrt/openwrt,b2648d8,2025-11-28T10:37:25Z,253
openwrt/openwrt,c79c32b,2025-11-28T10:34:02Z,14
openwrt/openwrt,e7086d7,2025-11-28T05:37:15Z,463
openwrt/openwrt,2f30e14,2025-11-28T02:31:52Z,158
openwrt/openwrt,cdf187f,2025-11-27T23:43:13Z,1
openwrt/openwrt,6e09394,2025-11-27T22:16:38Z,14
openwrt/openwrt,c84025d,2025-11-27T21:27:55Z,68
openwrt/openwrt,52a0873,2025-11-27T21:00:54Z,5279
openwrt/openwrt,2740ebd,2025-11-27T21:00:03Z,386
openwrt/openwrt,9424b2b,2025-11-27T20:13:04Z,128
openwrt/openwrt,6891dc2,2025-11-27T20:11:11Z,8
openwrt/openwrt,4fd310a,2025-11-27T19:26:37Z,2
openwrt/openwrt,30a863b,2025-11-27T19:24:05Z,2
openwrt/openwrt,9274e9a,2025-11-27T14:08:21Z,6
openwrt/openwrt,fee916f,2025-11-27T13:26:33Z,4
openwrt/openwrt,cf14eb6,2025-11-27T13:23:56Z,6
openwrt/openwrt,929a460,2025-11-27T13:22:03Z,1
openwrt/openwrt,61bfcc4,2025-11-27T13:18:50Z,2
openwrt/openwrt,ed7e01b,2025-11-27T12:39:57Z,18
openwrt/openwrt,15f2a8c,2025-11-27T11:47:33Z,2
openwrt/openwrt,6c037b6,2025-11-27T11:47:16Z,2
openwrt/openwrt,8cb728d,2025-11-27T11:46:37Z,4
openwrt/openwrt,cc88cf5,2025-11-27T10:22:58Z,4
openwrt/openwrt,de1b801,2025-11-27T09:39:05Z,1
openwrt/openwrt,f190a5e,2025-11-27T07:24:16Z,56
openwrt/openwrt,feba898,2025-11-27T01:04:11Z,11
openwrt/openwrt,96fc2fa,2025-11-27T00:55:49Z,45
openwrt/openwrt,2fe4e7d,2025-11-26T20:24:31Z,62
openwrt/openwrt,28cc1c3,2025-11-26T19:06:28Z,3
openwrt/openwrt,e6b35fe,2025-11-26T18:55:40Z,2
openwrt/openwrt,43c48d0,2025-11-26T17:18:46Z,229
openwrt/openwrt,8a1ee75,2025-11-26T16:26:32Z,59563
openwrt/openwrt,0883bb7,2025-11-26T16:04:35Z,177
openwrt/openwrt,f2c1697,2025-11-26T15:49:55Z,154
openwrt/openwrt,b4d7263,2025-11-26T15:06:55Z,146
openwrt/openwrt,2e944e0,2025-11-26T00:40:28Z,8
openwrt/openwrt,2dc3617,2025-11-25T23:39:18Z,2
openwrt/openwrt,5a4e65f,2025-11-25T21:25:36Z,4
openwrt/openwrt,e7022ec,2025-11-25T18:47:16Z,4
openwrt/openwrt,7af6029,2025-11-25T16:32:41Z,9
openwrt/openwrt,2c2b048,2025-11-25T13:18:31Z,159
openwrt/openwrt,7e829b8,2025-11-25T13:08:26Z,132
openwrt/openwrt,41541bf,2025-11-25T12:39:59Z,36
openwrt/openwrt,6065edf,2025-11-25T12:31:12Z,32
openwrt/openwrt,9f6c16e,2025-11-25T12:10:50Z,6
openwrt/openwrt,7ff854a,2025-11-25T10:43:22Z,5
openwrt/openwrt,b0e9371,2025-11-25T09:53:20Z,612
openwrt/openwrt,0337cdf,2025-11-25T06:53:40Z,88
openwrt/openwrt,b92a339,2025-11-24T22:47:47Z,2
openwrt/openwrt,b03c79f,2025-11-24T20:06:16Z,6
openwrt/openwrt,90a768a,2025-11-24T19:59:45Z,4
openwrt/openwrt,09360ef,2025-11-24T19:52:47Z,4
openwrt/openwrt,63c146a,2025-11-24T15:00:57Z,2
openwrt/openwrt,5629e06,2025-11-24T14:50:33Z,160
openwrt/openwrt,902b25a,2025-11-24T14:49:47Z,47
openwrt/openwrt,93c2934,2025-11-24T14:49:09Z,141
openwrt/openwrt,3a5a5c7,2025-11-24T10:30:24Z,20
openwrt/openwrt,2418ff9,2025-11-24T07:56:28Z,8
openwrt/openwrt,4dab2a9,2025-11-24T07:54:30Z,12
openwrt/openwrt,d711d90,2025-11-24T06:43:24Z,1
openwrt/openwrt,7ea6595,2025-11-23T23:21:29Z,7
openwrt/openwrt,245841e,2025-11-23T18:51:37Z,2
openwrt/openwrt,e603841,2025-11-23T17:07:03Z,237
openwrt/openwrt,d691e05,2025-11-23T17:05:51Z,161
openwrt/openwrt,0ceb26a,2025-11-23T17:04:20Z,4
openwrt/openwrt,4225b2c,2025-11-23T17:03:13Z,4
openwrt/openwrt,29a9c3f,2025-11-23T16:31:35Z,388
openwrt/openwrt,0aa4f6a,2025-11-23T16:28:40Z,2
openwrt/openwrt,53fee72,2025-11-23T16:26:03Z,100
openwrt/openwrt,4bd1cb6,2025-11-23T16:21:41Z,30
openwrt/openwrt,c7fec66,2025-11-23T16:20:26Z,35
openwrt/openwrt,5838078,2025-11-23T16:17:55Z,60
openwrt/openwrt,70563e6,2025-11-23T16:16:04Z,94
openwrt/openwrt,59a1e5b,2025-11-23T16:13:42Z,4
openwrt/openwrt,749d54f,2025-11-23T16:07:05Z,41
openwrt/openwrt,07e4b82,2025-11-23T16:04:41Z,2
openwrt/openwrt,612f1e6,2025-11-23T16:04:21Z,2
openwrt/openwrt,6eb4603,2025-11-23T16:03:03Z,14
openwrt/openwrt,20fd6c9,2025-11-23T16:01:34Z,6
openwrt/openwrt,281c90c,2025-11-23T16:00:04Z,6
openwrt/openwrt,f29c597,2025-11-23T15:59:19Z,3
openwrt/openwrt,1dd2227,2025-11-23T15:57:21Z,215
openwrt/openwrt,230a183,2025-11-23T15:50:29Z,51
openwrt/openwrt,8f42966,2025-11-23T15:45:25Z,23
openwrt/openwrt,abb7bbb,2025-11-23T14:42:20Z,2
openwrt/openwrt,d5fec0b,2025-11-23T14:25:05Z,3
openwrt/openwrt,69c6658,2025-11-23T14:17:52Z,19
openwrt/openwrt,80375e5,2025-11-23T14:10:41Z,3
openwrt/openwrt,bc71e70,2025-11-23T14:07:28Z,2
openwrt/openwrt,e506cb6,2025-11-23T14:01:14Z,23
openwrt/openwrt,230d936,2025-11-23T13:54:27Z,5
openwrt/openwrt,dae62b0,2025-11-23T13:52:22Z,2
openwrt/openwrt,f6ba707,2025-11-23T13:44:11Z,17
openwrt/openwrt,7ade70b,2025-11-23T13:31:12Z,23
openwrt/openwrt,1518753,2025-11-23T13:12:52Z,35
openwrt/openwrt,7704e50,2025-11-23T12:23:52Z,26
openwrt/openwrt,c6e0638,2025-11-23T12:17:31Z,29
openwrt/openwrt,1826247,2025-11-23T12:11:17Z,6
openwrt/openwrt,1f1cafb,2025-11-23T11:59:54Z,5
openwrt/openwrt,4f71495,2025-11-23T11:57:49Z,2
openwrt/openwrt,3e539b6,2025-11-23T11:49:24Z,4
openwrt/openwrt,039c980,2025-11-23T11:43:28Z,8
openwrt/openwrt,c6ed536,2025-11-23T11:37:20Z,2
openwrt/openwrt,9bdf723,2025-11-23T11:18:13Z,4
openwrt/openwrt,86003e0,2025-11-23T11:15:26Z,6
openwrt/openwrt,6f0fee5,2025-11-23T11:11:50Z,6
openwrt/openwrt,d74dce4,2025-11-23T11:05:53Z,6
openwrt/openwrt,5a2a2b2,2025-11-23T11:02:57Z,4
openwrt/openwrt,c476870,2025-11-23T11:01:56Z,4
openwrt/openwrt,b6c274b,2025-11-23T10:57:39Z,4
openwrt/openwrt,6e09423,2025-11-23T10:29:11Z,386
openwrt/openwrt,2c667f2,2025-11-23T10:01:21Z,4
openwrt/openwrt,671898c,2025-11-23T09:48:47Z,2
openwrt/openwrt,b947b6a,2025-11-23T09:46:48Z,560
openwrt/openwrt,223cc6e,2025-11-23T09:46:30Z,4
openwrt/openwrt,adad973,2025-11-23T09:40:12Z,6
openwrt/openwrt,686b7a3,2025-11-23T09:32:14Z,18
openwrt/openwrt,d263af3,2025-11-23T09:09:29Z,3
openwrt/openwrt,28f9ef5,2025-11-23T09:07:38Z,13618
openwrt/openwrt,cdafb1f,2025-11-23T09:06:15Z,3
openwrt/openwrt,0401394,2025-11-23T09:05:45Z,14
openwrt/openwrt,a119464,2025-11-23T09:05:10Z,421
openwrt/openwrt,e9b7a9e,2025-11-23T09:04:13Z,437
openwrt/openwrt,22d2061,2025-11-23T09:02:06Z,3
openwrt/openwrt,2830d3b,2025-11-23T09:00:20Z,3
openwrt/openwrt,c252659,2025-11-23T08:58:30Z,31
openwrt/openwrt,27d24fb,2025-11-23T08:53:44Z,8
openwrt/openwrt,e34726b,2025-11-23T08:50:42Z,1910
openwrt/openwrt,2aa9a41,2025-11-23T08:49:09Z,3
openwrt/openwrt,117546b,2025-11-23T08:45:00Z,2604
openwrt/openwrt,2833a26,2025-11-23T08:41:25Z,4
openwrt/openwrt,1748ce8,2025-11-23T06:03:37Z,408
openwrt/openwrt,3045f20,2025-11-22T21:34:04Z,32
openwrt/openwrt,f0909f7,2025-11-22T19:42:33Z,152
openwrt/openwrt,e9d6015,2025-11-22T19:40:49Z,2
openwrt/openwrt,0f0f578,2025-11-22T19:25:29Z,1
openwrt/openwrt,314dbb7,2025-11-22T19:20:14Z,102
openwrt/openwrt,7748ed6,2025-11-22T17:52:32Z,3
openwrt/openwrt,cd851fb,2025-11-22T17:39:42Z,1291
openwrt/openwrt,ca62637,2025-11-22T17:39:07Z,3
openwrt/openwrt,05cddcd,2025-11-22T16:18:36Z,117
openwrt/openwrt,40fc91b,2025-11-22T16:05:52Z,28
openwrt/openwrt,afb90ba,2025-11-22T13:46:30Z,4
openwrt/openwrt,f9802d7,2025-11-22T09:01:55Z,2
openwrt/openwrt,ed4aabf,2025-11-22T08:58:26Z,2
openwrt/openwrt,9ba24e0,2025-11-22T07:29:46Z,16
openwrt/openwrt,57e8eb6,2025-11-22T07:20:50Z,16
openwrt/openwrt,08be1ef,2025-11-22T07:11:34Z,4
openwrt/openwrt,dadfca0,2025-11-22T06:58:55Z,4
openwrt/openwrt,bca5e06,2025-11-21T22:45:15Z,813
openwrt/openwrt,12ebda3,2025-11-21T22:44:45Z,3
openwrt/openwrt,95f62f1,2025-11-21T22:42:09Z,4397
openwrt/openwrt,3519588,2025-11-21T22:41:28Z,3
openwrt/openwrt,345efe6,2025-11-21T22:39:36Z,400
openwrt/openwrt,c2b3bb6,2025-11-21T22:38:18Z,3
openwrt/openwrt,cea8507,2025-11-21T22:32:26Z,2
openwrt/openwrt,4f8f0bf,2025-11-21T20:33:26Z,3
openwrt/openwrt,34aa008,2025-11-21T01:08:09Z,28
openwrt/openwrt,853da1d,2025-11-21T01:07:06Z,6
openwrt/openwrt,2cffbea,2025-11-21T01:06:26Z,6
openwrt/openwrt,96fb4b5,2025-11-21T01:05:40Z,6
